@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric

@data
4270,'2025/11/05 13:11:43:495',26,0.486791,0.247949,0.62,0.44
4271,'2025/11/05 13:11:43:533',26,0.487033,0.248445,0.62,0.44
4272,'2025/11/05 13:11:43:576',26,0.487251,0.248636,0.62,0.44
4273,'2025/11/05 13:11:43:617',26,0.486978,0.247911,0.62,0.44
4274,'2025/11/05 13:11:43:657',26,0.487231,0.248004,0.62,0.44
4275,'2025/11/05 13:11:43:700',26,0.487343,0.248121,0.62,0.44
4276,'2025/11/05 13:11:43:782',26,0.487405,0.248171,0.62,0.44
4277,'2025/11/05 13:11:43:821',26,0.48738,0.248001,0.62,0.44
4278,'2025/11/05 13:11:43:861',26,0.487408,0.248329,0.62,0.44
4279,'2025/11/05 13:11:43:901',26,0.48711,0.247949,0.62,0.44
4280,'2025/11/05 13:11:43:940',26,0.487461,0.248108,0.62,0.44
4281,'2025/11/05 13:11:43:981',26,0.487232,0.247554,0.62,0.44
4282,'2025/11/05 13:11:44:027',26,0.487182,0.24744,0.62,0.44
4283,'2025/11/05 13:11:44:068',26,0.487067,0.247521,0.62,0.44
4284,'2025/11/05 13:11:44:108',26,0.486852,0.247665,0.62,0.44
4285,'2025/11/05 13:11:44:150',26,0.487249,0.247679,0.62,0.44
4286,'2025/11/05 13:11:44:191',26,0.487169,0.248291,0.62,0.44
4287,'2025/11/05 13:11:44:232',26,0.486963,0.247892,0.62,0.44
4288,'2025/11/05 13:11:44:273',26,0.486521,0.24773,0.62,0.44
4289,'2025/11/05 13:11:44:356',26,0.486567,0.247988,0.62,0.44
4290,'2025/11/05 13:11:44:396',26,0.486548,0.248351,0.62,0.44
4291,'2025/11/05 13:11:44:436',26,0.486148,0.248025,0.62,0.44
4292,'2025/11/05 13:11:44:480',26,0.486419,0.24822,0.62,0.44
4293,'2025/11/05 13:11:44:520',26,0.486027,0.248023,0.62,0.44
4294,'2025/11/05 13:11:44:559',26,0.486076,0.248034,0.62,0.44
4295,'2025/11/05 13:11:44:601',26,0.486098,0.248059,0.62,0.44
4296,'2025/11/05 13:11:44:641',26,0.485837,0.248066,0.62,0.44
4297,'2025/11/05 13:11:44:682',26,0.485601,0.247936,0.62,0.44
4298,'2025/11/05 13:11:44:727',26,0.485683,0.24819,0.62,0.44
4299,'2025/11/05 13:11:44:764',26,0.485506,0.24781,0.62,0.44
